rel_path,kind,size_bytes,encoding,rows,cols,columns,timestamp_columns,ts_min,ts_max,missing_ratio_sample,quality_flags,notes
EIA923_Schedules_2_3_4_5_M_11_2025_21JAN2026.xlsx,xlsx,20048177,binary,0,0,,,,,0.0,xlsx_read_error,Missing optional dependency 'openpyxl'.  Use pip or conda to install openpyxl.
cleaned/semisynthetic_datacenter_power_2015_2024.csv,csv,8252637,utf-8-sig,87672,5,"datetime,temp_f,it_load_mw,pue,total_power_mw",datetime,2015-01-01T00:00:00+00:00,2016-02-21T15:00:00+00:00,0.0,synthetic_data,
epa_temperature_loudoun_2019.csv,csv,0,utf-8-sig,0,0,,,,,1.0,empty_file,
external_downloads/egrid2023_data_metric_rev2.xlsx,xlsx,24803997,binary,0,0,,,,,0.0,xlsx_read_error,Missing optional dependency 'openpyxl'.  Use pip or conda to install openpyxl.
external_downloads/egrid2023_data_rev2.xlsx,xlsx,21213301,binary,0,0,,,,,0.0,xlsx_read_error,Missing optional dependency 'openpyxl'.  Use pip or conda to install openpyxl.
external_downloads/noaa_global_hourly_72403093738_2019.csv,csv,7721709,utf-8-sig,12366,101,"STATION,DATE,SOURCE,LATITUDE,LONGITUDE,ELEVATION,NAME,REPORT_TYPE,CALL_SIGN,QUALITY_CONTROL,WND,CIG,VIS,TMP,DEW,SLP,AA1,AA2,AA3,AB1,AD1,AE1,AH1,AH2,AH3,AH4,AH5,AH6,AI1,AI2,AI3,AI4,AI5,AI6,AJ1,AK1,AL1,AM1,AN1,AT1,AT2,AT3,AT4,AT5,AT6,AT7,AT8,AU1,AU2,AU3,AW1,AW2,AW3,AW4,AX1,AX2,AX3,AX4,ED1,GA1,GA2,GA3,GA4,GD1,GD2,GD3,GD4,GE1,GF1,KA1,KA2,KB1,KB2,KB3,KC1,KC2,KD1,KD2,KE1,KG1,KG2,MA1,MD1,MF1,MG1,MH1,MK1,MV1,MW1,MW2,OC1,OD1,OE1,OE2,OE3,RH1,RH2,RH3,WA1,REM,EQD",DATE,2019-01-01T00:00:00+00:00,2019-10-24T06:52:00+00:00,0.7375851485148515,high_missingness_sample,
external_downloads/noaa_global_hourly_72403093738_2020.csv,csv,7812241,utf-8-sig,12567,101,"STATION,DATE,SOURCE,LATITUDE,LONGITUDE,ELEVATION,NAME,REPORT_TYPE,CALL_SIGN,QUALITY_CONTROL,WND,CIG,VIS,TMP,DEW,SLP,AA1,AA2,AA3,AB1,AD1,AE1,AH1,AH2,AH3,AH4,AH5,AH6,AI1,AI2,AI3,AI4,AI5,AI6,AJ1,AK1,AL1,AM1,AN1,AT1,AT2,AT3,AT4,AT5,AT6,AT7,AU1,AU2,AU3,AW1,AW2,AW3,AW4,AX1,AX2,AX3,AX4,AX5,ED1,GA1,GA2,GA3,GA4,GD1,GD2,GD3,GD4,GE1,GF1,KA1,KA2,KB1,KB2,KB3,KC1,KC2,KD1,KD2,KE1,KG1,KG2,MA1,MD1,MF1,MG1,MH1,MK1,MV1,MW1,MW2,OC1,OD1,OE1,OE2,OE3,RH1,RH2,RH3,WA1,REM,EQD",DATE,2020-01-01T00:00:00+00:00,2020-10-18T14:52:00+00:00,0.738439603960396,high_missingness_sample,
external_downloads/noaa_global_hourly_72403093738_2021.csv,csv,7439937,utf-8-sig,12139,98,"STATION,DATE,SOURCE,LATITUDE,LONGITUDE,ELEVATION,NAME,REPORT_TYPE,CALL_SIGN,QUALITY_CONTROL,WND,CIG,VIS,TMP,DEW,SLP,AA1,AA2,AA3,AB1,AD1,AE1,AH1,AH2,AH3,AH4,AH5,AH6,AI1,AI2,AI3,AI4,AI5,AI6,AJ1,AK1,AL1,AM1,AN1,AT1,AT2,AT3,AT4,AT5,AT6,AU1,AU2,AU3,AW1,AW2,AW3,AW4,AX1,AX2,AX3,ED1,GA1,GA2,GA3,GA4,GD1,GD2,GD3,GD4,GE1,GF1,KA1,KA2,KB1,KB2,KB3,KC1,KC2,KD1,KD2,KE1,KG1,KG2,MA1,MD1,MF1,MG1,MH1,MK1,MV1,MW1,MW2,OC1,OD1,OE1,OE2,OE3,RH1,RH2,RH3,WA1,REM,EQD",DATE,2021-01-01T00:00:00+00:00,2021-10-25T04:52:00+00:00,0.7338377551020409,high_missingness_sample,
external_downloads/noaa_global_hourly_72403093738_2022.csv,csv,7554261,utf-8-sig,12317,100,"STATION,DATE,SOURCE,LATITUDE,LONGITUDE,ELEVATION,NAME,REPORT_TYPE,CALL_SIGN,QUALITY_CONTROL,WND,CIG,VIS,TMP,DEW,SLP,AA1,AA2,AA3,AB1,AD1,AE1,AH1,AH2,AH3,AH4,AH5,AH6,AI1,AI2,AI3,AI4,AI5,AI6,AJ1,AK1,AL1,AM1,AN1,AT1,AT2,AT3,AT4,AT5,AT6,AT7,AU1,AU2,AU3,AW1,AW2,AW3,AW4,AX1,AX2,AX3,AX4,ED1,GA1,GA2,GA3,GA4,GD1,GD2,GD3,GD4,GE1,GF1,KA1,KA2,KB1,KB2,KB3,KC1,KC2,KD1,KD2,KE1,KG1,KG2,MA1,MD1,MF1,MG1,MH1,MK1,MV1,MW1,MW2,OC1,OD1,OE1,OE2,OE3,RH1,RH2,RH3,WA1,REM,EQD",DATE,2022-01-01T00:00:00+00:00,2022-10-23T13:23:00+00:00,0.7381759999999999,high_missingness_sample,
external_downloads/noaa_global_hourly_72403093738_2023.csv,csv,7426218,utf-8-sig,12273,97,"STATION,DATE,SOURCE,LATITUDE,LONGITUDE,ELEVATION,NAME,REPORT_TYPE,CALL_SIGN,QUALITY_CONTROL,WND,CIG,VIS,TMP,DEW,SLP,AA1,AA2,AA3,AB1,AD1,AE1,AH1,AH2,AH3,AH4,AH5,AH6,AI1,AI2,AI3,AI4,AI5,AI6,AJ1,AK1,AL1,AM1,AN1,AT1,AT2,AT3,AT4,AU1,AU2,AU3,AW1,AW2,AW3,AW4,AX1,AX2,AX3,AX4,ED1,GA1,GA2,GA3,GA4,GD1,GD2,GD3,GD4,GE1,GF1,KA1,KA2,KB1,KB2,KB3,KC1,KC2,KD1,KD2,KE1,KG1,KG2,MA1,MD1,MF1,MG1,MH1,MK1,MV1,MW1,MW2,OC1,OD1,OE1,OE2,OE3,RH1,RH2,RH3,WA1,REM,EQD",DATE,2023-01-01T00:00:00+00:00,2023-10-30T14:52:00+00:00,0.7328948453608246,high_missingness_sample,
